false_positive_cost,false_negative_cost,cost_ratio,best_threshold,best_total_cost
1.0,10.0,10.0,0.15,110.0
1.0,20.0,20.0,0.07,205.0
1.0,38.92,38.92,0.03,371.36
1.0,50.0,50.0,0.03,460.0
1.0,100.0,100.0,0.03,860.0
2.08,10.0,4.8076923076923075,0.15,120.8
2.08,20.0,9.615384615384615,0.15,220.8
2.08,38.92,18.711538461538463,0.07,402.28000000000003
2.08,50.0,24.038461538461537,0.07,502.0
2.08,100.0,48.07692307692307,0.03,924.8
5.0,10.0,2.0,0.34,140.0
5.0,20.0,4.0,0.15,250.0
5.0,38.92,7.784000000000001,0.15,439.20000000000005
5.0,50.0,10.0,0.15,550.0
5.0,100.0,20.0,0.07,1025.0
10.0,10.0,1.0,0.34,150.0
10.0,20.0,2.0,0.34,280.0
10.0,38.92,3.8920000000000003,0.15,489.20000000000005
10.0,50.0,5.0,0.15,600.0
10.0,100.0,10.0,0.15,1100.0
