threshold,false_positives,false_negatives,true_positives,true_negatives,precision,recall,false_positive_rate,total_cost
0.01,86,8,24,12382,0.21818181818181817,0.75,0.006897658004491498,490.24
0.02,84,8,24,12384,0.2222222222222222,0.75,0.006737247353224254,486.08000000000004
0.03,60,8,24,12408,0.2857142857142857,0.75,0.004812319538017324,436.16
0.04,48,9,23,12420,0.323943661971831,0.71875,0.0038498556304138597,450.12
0.05,47,9,23,12421,0.32857142857142857,0.71875,0.0037696503047802373,448.04
0.06,27,9,23,12441,0.46,0.71875,0.002165543792107796,406.44000000000005
0.07,25,9,23,12443,0.4791666666666667,0.71875,0.002005133140840552,402.28000000000003
0.08,24,10,22,12444,0.4782608695652174,0.6875,0.0019249278152069298,439.12000000000006
0.09,16,10,22,12452,0.5789473684210527,0.6875,0.0012832852101379532,422.48
0.1,14,10,22,12454,0.6111111111111112,0.6875,0.001122874558870709,418.32000000000005
0.11,11,10,22,12457,0.6666666666666666,0.6875,0.0008822585819698428,412.08000000000004
0.12,11,10,22,12457,0.6666666666666666,0.6875,0.0008822585819698428,412.08000000000004
0.13,11,10,22,12457,0.6666666666666666,0.6875,0.0008822585819698428,412.08000000000004
0.14,11,10,22,12457,0.6666666666666666,0.6875,0.0008822585819698428,412.08000000000004
0.15,10,10,22,12458,0.6875,0.6875,0.0008020532563362208,410.00000000000006
0.16,10,10,22,12458,0.6875,0.6875,0.0008020532563362208,410.00000000000006
0.17,10,10,22,12458,0.6875,0.6875,0.0008020532563362208,410.00000000000006
0.18,10,10,22,12458,0.6875,0.6875,0.0008020532563362208,410.00000000000006
0.19,10,11,21,12458,0.6774193548387096,0.65625,0.0008020532563362208,448.92
0.2,9,11,21,12459,0.7,0.65625,0.0007218479307025986,446.84000000000003
0.21,9,11,21,12459,0.7,0.65625,0.0007218479307025986,446.84000000000003
0.22,9,12,20,12459,0.6896551724137931,0.625,0.0007218479307025986,485.76
0.23,6,12,20,12462,0.7692307692307693,0.625,0.00048123195380173246,479.52000000000004
0.24,6,12,20,12462,0.7692307692307693,0.625,0.00048123195380173246,479.52000000000004
0.25,5,12,20,12463,0.8,0.625,0.0004010266281681104,477.44
0.26,5,13,19,12463,0.7916666666666666,0.59375,0.0004010266281681104,516.36
0.27,5,13,19,12463,0.7916666666666666,0.59375,0.0004010266281681104,516.36
0.28,5,13,19,12463,0.7916666666666666,0.59375,0.0004010266281681104,516.36
0.29,4,13,19,12464,0.8260869565217391,0.59375,0.0003208213025344883,514.2800000000001
0.3,3,13,19,12465,0.8636363636363636,0.59375,0.00024061597690086623,512.2
0.31,3,13,19,12465,0.8636363636363636,0.59375,0.00024061597690086623,512.2
0.32,3,13,19,12465,0.8636363636363636,0.59375,0.00024061597690086623,512.2
0.33,3,13,19,12465,0.8636363636363636,0.59375,0.00024061597690086623,512.2
0.34,2,13,19,12466,0.9047619047619048,0.59375,0.00016041065126724414,510.12000000000006
0.35,2,13,19,12466,0.9047619047619048,0.59375,0.00016041065126724414,510.12000000000006
0.36,1,14,18,12467,0.9473684210526315,0.5625,8.020532563362207e-05,546.96
0.37,1,14,18,12467,0.9473684210526315,0.5625,8.020532563362207e-05,546.96
0.38,1,14,18,12467,0.9473684210526315,0.5625,8.020532563362207e-05,546.96
0.39,1,14,18,12467,0.9473684210526315,0.5625,8.020532563362207e-05,546.96
0.4,1,14,18,12467,0.9473684210526315,0.5625,8.020532563362207e-05,546.96
0.41,1,15,17,12467,0.9444444444444444,0.53125,8.020532563362207e-05,585.8800000000001
0.42,0,15,17,12468,1.0,0.53125,0.0,583.8000000000001
0.43,0,15,17,12468,1.0,0.53125,0.0,583.8000000000001
0.44,0,15,17,12468,1.0,0.53125,0.0,583.8000000000001
0.45,0,15,17,12468,1.0,0.53125,0.0,583.8000000000001
0.46,0,15,17,12468,1.0,0.53125,0.0,583.8000000000001
